Year,Title,Artist,Weeks,Rank
1960,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,16,1
1960,Wonderland By Night,Bert Kaempfert And His Orchestra,17,2
1960,Last Date,Floyd Cramer,20,3
1960,A Thousand Stars,Kathy Young with The Innocents,17,4
1960,Exodus,Ferrante & Teicher,21,5
1960,North To Alaska,Johnny Horton,23,6
1960,Many Tears Ago,Connie Francis,13,7
1960,You're Sixteen,Johnny Burnette,15,8
1960,Sailor (Your Home Is The Sea),Lolita,18,9
1960,"Corinna, Corinna",Ray Peterson,15,10
1960,He Will Break Your Heart,Jerry Butler,15,11
1960,Lonely Teenager,Dion,16,12
1960,Angel Baby,Rosie And The Originals,13,13
1960,Rockin' Around The Christmas Tree,Brenda Lee,11,14
1960,Perfidia,The Ventures,13,15
1960,Rubber Ball,Bobby Vee,14,16
1960,Wonderland By Night,Louis Prima,14,17
1960,Poetry In Motion,Johnny Tillotson,15,18
1960,New Orleans,U.S. Bonds,14,19
1960,Will You Love Me Tomorrow,The Shirelles,19,20
1960,Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks,8,21
1960,My Girl Josephine,Fats Domino,15,22
1960,Sway,Bobby Rydell,11,23
1960,The Little Drummer Boy,The Harry Simeone Chorale,0,24
1960,Blue Tango,Bill Black's Combo,10,25
1960,White Christmas,Bing Crosby,13,26
1960,Wonderland By Night,Anita Bryant,10,27
1960,Alone At Last,Jackie Wilson,15,28
1960,Fools Rush In (Where Angels Fear To Tread),Brook Benton,10,29
1960,Stay,Maurice Williams & The Zodiacs,18,30
1960,Doll House,Donnie Brooks,10,31
1960,Ruby,Ray Charles,9,32
1960,"Let's Go, Let's Go, Let's Go",Hank Ballard And The Midnighters,16,33
1960,Sad Mood,Sam Cooke,8,34
1960,Wings Of A Dove,Ferlin Husky,18,35
1960,Jingle Bell Rock,Bobby Helms,15,36
1960,I'll Save The Last Dance For You,Damita Jo,12,37
1960,Ballad Of The Alamo,Marty Robbins,13,38
1960,I Gotta Know,Elvis Presley With The Jordanaires,11,39
1960,The Hucklebuck,Chubby Checker,13,40
1960,Last Date,Lawrence Welk And His Orchestra,11,41
1960,Calcutta,Lawrence Welk And His Orchestra,17,42
1960,Am I Losing You,Jim Reeves,11,43
1960,Save The Last Dance For Me,The Drifters,18,44
1960,"Adeste Fideles (Oh, Come, All Ye Faithful)",Bing Crosby,3,45
1960,Ol' Mac Donald,Frank Sinatra,9,46
1960,Like Strangers,The Everly Brothers,10,47
1960,Gee Whiz,The Innocents,11,48
1960,Once In Awhile,The Chimes,18,49
1960,A Perfect Love,Frankie Avalon,6,50
1960,I'm Hurtin',Roy Orbison,8,51
1960,Gonzo,James Booker,11,52
1960,Shop Around,The Miracles (featuring Bill Smokey Robinson),16,53
1960,Silent Night,Bing Crosby,2,54
1960,I Count The Tears,The Drifters,11,55
1960,Dance By The Light Of The Moon,The Olympics,11,56
1960,Calendar Girl,Neil Sedaka,15,57
1960,Christmas Auld Lang Syne,Bobby Darin,3,58
1960,Bumble Bee,LaVern Baker,11,59
1960,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,15,60
1960,Twistin' Bells,Santo & Johnny,3,61
1960,Baby Oh Baby,The Shells,8,62
1960,You Are The Only One,Ricky Nelson,8,63
1960,Am I The Man,Jackie Wilson,10,64
